,lat,log,county
0,17.93782,-66.15604,Guayama
1,17.938983,-66.203232,Guayama
2,17.94004,-66.16997,Guayama
3,17.942593,-66.262573,Salinas
4,17.952943,-66.865182,Guánica
5,17.955165,-66.875948,Guánica
6,17.95644,-66.224788,Salinas
7,17.95644,-66.224788,Salinas
8,17.95705,-66.403981,Santa Isabel
9,17.957911,-66.40389,Santa Isabel
10,17.958017,-66.403111,Santa Isabel
11,17.960041,-66.288516,Salinas
12,17.961835,-66.905709,Guánica
13,17.96191,-66.90604,Guánica
14,17.9621,-66.1115,Guayama
15,17.96216,-66.06388,ZMunicipio
16,17.96259,-66.40322,Santa Isabel
17,17.96264,-66.2978,Salinas
18,17.962645,-66.2978,Salinas
19,17.962746,-66.406217,Santa Isabel
20,17.962891,-66.4049,Santa Isabel
21,17.96303,-66.40386,Santa Isabel
22,17.96315,-66.297791,Salinas
23,17.963284,-66.063497,Arroyo
24,17.963284,-66.063497,Arroyo
25,17.963284,-66.063497,Arroyo
26,17.963284,-66.063497,Arroyo
27,17.963284,-66.063497,Arroyo
28,17.963284,-66.063497,Arroyo
29,17.963284,-66.063497,Arroyo
30,17.963284,-66.063497,Arroyo
31,17.963284,-66.063497,Arroyo
32,17.963284,-66.063497,Arroyo
33,17.963284,-66.063497,Arroyo
34,17.963284,-66.063497,Arroyo
35,17.96335,-67.003053,ZMunicipio
36,17.963487,-66.062964,Arroyo
37,17.964139,-66.905154,Guánica
38,17.964231,-66.39837,Santa Isabel
39,17.964326,-66.062034,Arroyo
40,17.964548,-66.612583,ZMunicipio
41,17.96456,-66.296342,Salinas
42,17.964656,-66.066995,ZMunicipio
43,17.964656,-66.066995,ZMunicipio
44,17.964809,-66.612577,ZMunicipio
45,17.96535,-66.4045,Santa Isabel
46,17.96537,-66.109823,Guayama
47,17.96545,-66.93694,Guánica
48,17.96545,-66.93694,Guánica
49,17.965618,-66.110673,Guayama
50,17.96562,-66.61409,ZMunicipio
51,17.965652,-66.110492,Guayama
52,17.96572,-66.10955,Guayama
53,17.965836,-66.109842,Guayama
54,17.966282,-66.931545,Guánica
55,17.966639,-66.064156,Arroyo
56,17.967,-66.104739,Guayama
57,17.967386,-66.06637,Arroyo
58,17.967567,-66.91029,Guánica
59,17.967567,-66.91029,Guánica
60,17.967567,-66.91029,Guánica
61,17.96759,-66.11755,Guayama
62,17.9677,-66.4067,Santa Isabel
63,17.96774,-66.40672,Santa Isabel
64,17.96779,-66.11338,Guayama
65,17.9678,-66.3669,Santa Isabel
66,17.967937,-66.932322,Guánica
67,17.968278,-66.21237,Salinas
68,17.968467,-66.612418,ZMunicipio
69,17.968509,-66.060042,Arroyo
70,17.968527,-66.118755,Guayama
71,17.969,-66.0595,Arroyo
72,17.969293,-66.117311,Guayama
73,17.96932,-66.1258,Guayama
74,17.969365,-66.611646,ZMunicipio
75,17.969474,-66.218286,Salinas
76,17.969555,-66.248305,Salinas
77,17.969584,-66.108945,Guayama
78,17.96959,-66.90698,Guánica
79,17.9697,-66.4087,Santa Isabel
80,17.969933,-66.618776,ZMunicipio
81,17.969967,-66.11779,Guayama
82,17.970121,-66.612749,ZMunicipio
83,17.97018,-66.91254,Guánica
84,17.970212,-66.612749,ZMunicipio
85,17.97028,-66.06523,Arroyo
86,17.970283,-66.306861,Salinas
87,17.97035,-66.17997,Guayama
88,17.970407,-66.109566,Guayama
89,17.97051,-66.11632,Guayama
90,17.970554,-66.2247,Salinas
91,17.970594,-66.215502,Salinas
92,17.970781,-66.224836,Salinas
93,17.970832,-66.214663,Salinas
94,17.971004,-66.610866,ZMunicipio
95,17.971168,-66.114988,Guayama
96,17.971263,-66.114927,Guayama
97,17.971283,-66.073944,Guayama
98,17.971757,-66.114965,Guayama
99,17.97179,-66.9044,Guánica
100,17.972015,-66.298941,Salinas
101,17.972325,-66.907377,Guánica
102,17.972337,-66.116601,Guayama
103,17.972388,-66.303042,Salinas
104,17.972456,-66.227173,Salinas
105,17.97249,-66.30363,Salinas
106,17.972561,-66.404788,Santa Isabel
107,17.972561,-66.404788,Santa Isabel
108,17.972618,-66.288783,Salinas
109,17.972729,-66.300462,Salinas
110,17.972779,-66.299113,Salinas
111,17.9729,-66.409,Santa Isabel
112,17.97301,-66.93217,Guánica
113,17.973116,-66.22464,Salinas
114,17.97312,-66.224872,Salinas
115,17.973273,-66.30049,Salinas
116,17.973474,-66.223696,Salinas
117,17.97354,-66.118068,Guayama
118,17.973804,-66.300506,Salinas
119,17.97388,-66.09084,Guayama
120,17.974,-67.049,Lajas
121,17.974089,-66.222548,Salinas
122,17.97418,-66.40491,Santa Isabel
123,17.97423,-66.91523,Guánica
124,17.974241,-66.223108,Salinas
125,17.974249,-66.222683,Salinas
126,17.974322,-66.313593,Salinas
127,17.974408,-66.300632,Salinas
128,17.97442,-66.2979,Salinas
129,17.974479,-66.065162,Arroyo
130,17.974479,-66.065162,Arroyo
131,17.974541,-66.614895,ZMunicipio
132,17.974798,-66.298532,Salinas
133,17.974832,-66.224611,Salinas
134,17.974837,-66.119053,Guayama
135,17.974837,-66.119053,Guayama
136,17.974883,-66.056997,Arroyo
137,17.97489,-66.056242,Arroyo
138,17.974896,-66.0576,Arroyo
139,17.974916,-66.296718,Salinas
140,17.974919,-66.300646,Salinas
141,17.974964,-66.297811,Salinas
142,17.975063,-66.05888,Arroyo
143,17.9752,-66.29354,Salinas
144,17.975256,-66.293426,Salinas
145,17.97533,-66.90951,Guánica
146,17.975397,-66.296699,Salinas
147,17.975493,-66.298368,Salinas
148,17.975544,-66.297114,Salinas
149,17.9756,-66.0976,Guayama
150,17.975841,-66.29793,Salinas
151,17.975886,-66.056525,Arroyo
152,17.975922,-66.223966,Salinas
153,17.975976,-66.055497,Arroyo
154,17.975985,-66.298464,Salinas
155,17.975985,-66.298464,Salinas
156,17.975985,-66.298464,Salinas
157,17.975985,-66.298464,Salinas
158,17.975985,-66.298464,Salinas
159,17.976078,-66.092146,Guayama
160,17.9761,-66.1018,Guayama
161,17.976157,-66.604339,Ponce
162,17.976401,-66.297498,Salinas
163,17.976475,-66.05554,Arroyo
164,17.976694,-66.294888,Salinas
165,17.976854,-66.056636,Arroyo
