,id,caption,diseno,ncValue,address,lat,log,value4,nombre_pw,costo,costo1,costo2,costo3,municipio,tragedia,sector,categoria,tamano,date,406_408,day,month,year,municipio_new,icon
0,107107,54551 Rafael Aparicio Jiménez Bldg. 1,Construcción,N/A,"CALLE RODULFO GONZALEZ FINAL, Adjuntas, Puerto Rico, 00601",18.160975,-66.721365,EDOE048 54551 - Rafael Aparicio Jiménez  (YELLOW TAG- ADJUNTAS- PRDE),PA-02-PR-4473-PW-00153,64219,57797,57797,6422,Departamento de Educación de PR,Terremoto (4473),Educaci�n,Categoría E - Edificios y equipo,Pequeño,15/03/2022,,15,3,2022,Adjuntas,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
2,107107,54551 Rafael Aparicio Jiménez Bldg. 5,Construcción,N/A," CALLE RODULFO GONZALEZ FINAL, Adjuntas, Puerto Rico, 00601",18.160975,-66.721365,EDOE048 54551 - Rafael Aparicio Jiménez  (YELLOW TAG- ADJUNTAS- PRDE),PA-02-PR-4473-PW-00153,64219,57797,57797,6422,Departamento de Educación de PR,Terremoto (4473),Educaci�n,Categoría E - Edificios y equipo,Pequeño,15/03/2022,,15,3,2022,Adjuntas,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
4,107107,54551 Rafael Aparicio Jiménez Bldg. 2,Construcción,N/A," CALLE RODULFO GONZALEZ FINAL, Adjuntas, Puerto Rico, 00601",18.160975,-66.721365,EDOE048 54551 - Rafael Aparicio Jiménez  (YELLOW TAG- ADJUNTAS- PRDE),PA-02-PR-4473-PW-00153,64219,57797,57797,6422,Departamento de Educación de PR,Terremoto (4473),Educaci�n,Categoría E - Edificios y equipo,Pequeño,15/03/2022,,15,3,2022,Adjuntas,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
6,107107,UPR Aguadilla Edificio 632 Admisiones Servicios Médicos,Construcción,0,,18.49873,-67.13688,MUPR128 Aguadilla PH Group 04,PA-02-PR-4339-PW-09724,3567381,3210643,0,356738,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,14/01/2022,Proyecto 428,14,1,2022,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
8,107107,UPR Aguadilla Edificio 633 Departamento de Administración de Empresas,Construcción,35,,18.49878,-67.13614,MUPR127 Aguadilla PH Group 03,PA-02-PR-4339-PW-09034,1287390,1158651,0,128739,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,7/12/21,Proyecto 428,7,12,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
10,107107,UPR Aguadilla Edificio 620 Departamendo de Inglés Ciencias Sociales,Construcción,0,,18.49931,-67.13461,"UPR, Aguadilla-Edif. 612 Department of Natural Sciences(Aguadilla)",PA-02-PR-4339-PW-08284,4143338,3729004,0,414334,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,4/5/21,Proyecto 428,4,5,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
12,107107,UPR Aguadilla Edificio 772 Edificio Seguridad,Construcción,0,,18.49977,-67.13427,MUPR129 Aguadilla Site,PA-02-PR-4339-PW-08868,782112,703901,0,78211,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,"Categoría G - Parques, instalaciones recreativas y otros",Grande,8/7/21,Proyecto 428,8,7,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
14,107107,UPR Aguadilla General Contents Data,Construcción,55,,18.49887,-67.13702,MUPR226 Aguadilla Building Contents,PA-02-PR-4339-PW-08901,151252,136127,0,15125,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,8/6/21,Proyecto 428,8,6,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
16,107107,UPR Aguadilla Edificio 254 Oficinas Senado Académico,Construcción,35,,18.50079,-67.13483,"UPR, Aguadilla-Edif. 769 Bibl. Enrique A. Laguerre (Aguadilla)",PA-02-PR-4339-PW-07644,3438993,3095094,0,343899,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,19/02/2021,Proyecto 428,19,2,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
18,107107,UPR Aguadilla Edificio 705 Centro de Estudiantes,Construcción,0,,18.49986,-67.13644,MUPR127 Aguadilla PH Group 03,PA-02-PR-4339-PW-09034,1287390,1158651,0,128739,Universidad de Puerto Rico,Huracán María (4339),Educaci�n,Categoría E - Edificios y equipo,Grande,7/12/21,Proyecto 428,7,12,2021,Aguadilla,https://res.cloudinary.com/javier-jaramillo/image/upload/v1679067694/media/icon__0004_Educacion_v5j4k8.png
